GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
8000,Colorado,69,      Educational services,3136,3167.5,3157.5,3214.1,3303.7,3382.1,3411.5,3497.7,3560.9,3618.8,3630.5,3637.8,3722.9,3164.6,3360.5,3322.5
8000,Colorado,70,      Health care and social assistance,22178.6,21974.2,22608.3,22644.1,23108.8,23219.4,23478.2,23700.9,24210,24430,24820.8,24766.5,25648,22044.9,26308.2,26381.9
8000,Colorado,76,"      Arts, entertainment, and recreation",5897.7,5851.9,6238.1,6367.5,5937.3,6315.6,6277.2,6276.1,5793,5957.9,6113.3,6134,5626.4,2886.4,4130.7,4699.1
8000,Colorado,79,      Accommodation and food services,12028.7,12244.9,12376.3,12645.2,12793.8,12878,13023.7,13444.2,13862.2,14071.7,14304,14267.1,13842.9,8213.7,11979.4,11216.2
8000,Colorado,82,      Other services (except government and government enterprises),7785,7817.6,7971.1,8130.9,8304.5,8455.3,8595,8711.9,8720.3,8899.6,9054.1,9274.9,9215.3,7729.1,8982.9,9089.8
8000,Colorado,83,  Government and government enterprises,41942.5,42259.6,43241.1,43932.5,44196.8,44742,45191.1,45415.2,45825.5,46353.2,47340.3,47937.1,49130.1,48750.2,49490,49704.8
8000,Colorado,84,    Federal civilian,8669.2,8757.3,8866.5,8941.5,9052.3,9147.8,9243.7,9283.8,9285.8,9371.6,9491.8,9588.6,9797.1,10084.9,10313.9,10456.2
8000,Colorado,85,    Military,4742,4755.1,4804.5,4879.6,4786.3,4813.6,4857.3,4870.7,5012.5,5082.9,5147,5199.7,5256.2,5554.8,5627.2,5811.8
8000,Colorado,86,    State and local,28531.4,28747.1,29570.1,30111.5,30358.2,30780.5,31090.1,31260.7,31527.2,31898.7,32701.6,33148.7,34076.8,33110.6,33548.9,33436.8
9000,Connecticut,1,All industry total,265793.3,271098.7,273548.5,275332.4,276984.1,277263.6,282713.3,282730.9,285862.9,287992.4,289500.6,290789.4,283711.4,258117.7,279345,283718.9
