,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
267,IA,17.1,45.96,16.46,21.82,48.45,21.06,1632,899,1669,23.99,30.18,23.73,9.55,0.0,9.25,2.99,6.67,2.91,2.04,0.0,1.98,1.25,0.0,1.22,2.9,2.48,2.81,7.29,0.0,7.49,729,614.0,732,605,0,605,10.62,14.29,10.26
268,ID,17.34,33.33,16.91,21.41,43.94,20.82,2227,0,2257,25.74,0.0,25.64,9.55,0.0,9.39,3.46,0.0,3.35,2.34,0.0,2.29,0.97,0.0,0.94,6.45,9.09,6.35,11.09,0.0,11.04,718,654.0,720,1013,0,1039,12.58,25.76,12.21
269,IL,20.92,36.76,16.07,27.4,44.15,22.15,1489,1463,1521,25.9,33.99,23.91,10.05,16.91,7.82,3.68,6.73,2.94,3.5,6.51,2.75,1.76,2.66,1.66,4.42,7.65,3.4,9.4,11.26,8.08,711,649.0,734,644,633,653,14.54,20.42,12.73
270,IN,24.29,44.61,21.73,30.71,52.23,28.01,1873,1862,1873,27.91,37.47,27.08,12.75,21.03,11.5,4.13,8.26,3.78,3.45,7.61,3.02,1.82,3.59,1.71,5.88,9.64,5.42,7.2,8.31,6.78,688,616.0,701,813,713,838,19.15,31.04,17.77
271,KS,21.97,40.06,18.95,27.36,47.02,24.06,1706,1421,1740,25.85,33.3,24.78,12.0,26.63,10.7,3.46,7.2,3.01,2.5,4.3,2.17,1.52,0.43,1.51,4.33,6.1,3.92,8.75,12.94,8.32,707,642.0,721,824,831,818,18.08,30.88,15.95
272,KY,27.19,60.78,25.7,34.84,68.1,33.3,1296,1037,1305,28.11,41.31,27.59,13.52,21.03,13.23,4.59,14.05,4.37,4.03,8.3,3.8,1.81,8.11,1.76,5.37,7.97,5.12,6.25,6.12,6.22,676,552.0,682,501,570,498,18.6,35.56,17.88
273,LA,31.71,43.67,26.59,40.89,54.3,35.21,1910,1945,1916,31.63,36.68,29.98,13.52,16.98,11.47,5.31,7.56,4.55,6.26,9.29,5.05,2.2,3.29,1.85,6.84,9.78,5.59,17.82,21.62,15.03,668,620.0,680,853,841,881,23.13,28.07,20.95
274,MA,14.72,29.23,11.82,18.85,34.69,15.81,1564,1455,1630,23.25,32.77,22.01,7.28,13.26,6.09,3.39,6.5,2.87,2.12,4.88,1.7,1.16,2.35,1.06,1.65,4.26,1.22,9.97,7.73,11.63,734,667.0,747,402,426,397,4.93,7.57,4.47
275,MD,21.74,29.7,16.25,26.99,36.02,20.99,1608,1708,1512,28.38,34.25,25.46,10.36,12.73,8.01,4.48,6.5,3.27,3.54,4.87,2.7,1.8,2.82,1.27,3.84,5.42,2.8,7.58,8.48,5.99,706,668.0,734,530,568,490,12.2,15.11,10.53
276,ME,18.82,0.0,18.78,27.16,0.0,27.12,1671,0,1673,25.98,0.0,25.94,8.38,0.0,8.32,3.43,0.0,3.43,1.96,0.0,1.95,1.79,0.0,1.78,3.1,0.0,3.12,5.74,0.0,5.63,718,0.0,718,919,0,924,18.02,0.0,18.01
277,MI,21.11,46.36,17.49,28.13,56.42,24.09,1505,1812,1412,25.86,38.54,24.68,12.41,25.66,10.11,3.37,8.21,2.96,3.26,11.5,2.44,1.27,2.78,1.16,4.29,9.78,3.48,7.46,7.89,7.1,713,601.0,726,492,485,497,14.53,22.17,13.33
278,MN,11.82,27.9,10.87,14.16,32.63,13.04,1719,1868,1699,22.68,32.6,22.2,7.4,16.96,6.81,2.68,4.72,2.55,1.72,4.78,1.58,1.04,1.8,1.0,2.24,4.02,2.12,6.03,6.25,5.53,743,670.0,747,425,473,409,2.4,4.41,2.27
279,MO,24.63,51.72,21.39,31.94,61.46,28.35,2004,2295,1948,26.84,37.56,25.85,11.86,19.8,10.78,3.97,9.24,3.6,4.05,9.85,3.45,1.62,3.7,1.48,6.46,13.3,5.64,9.6,12.44,8.68,696,585.0,711,877,1144,839,19.29,35.85,17.33
280,MS,32.23,44.0,26.76,38.33,50.79,32.39,1803,1809,1829,33.67,38.82,32.02,14.95,19.14,12.16,6.9,10.35,6.0,6.68,9.58,5.51,3.57,5.07,2.86,7.75,9.51,6.86,14.59,16.47,13.32,661,615.0,675,866,982,817,19.19,22.43,17.37
281,MT,17.24,48.39,16.07,21.91,52.26,20.8,1757,1884,1732,25.39,39.28,25.07,11.05,26.79,10.52,2.92,9.02,2.88,2.13,11.59,1.87,1.25,0.0,1.16,2.66,5.16,2.52,4.88,0.0,5.22,722,599.0,725,815,1027,809,13.02,27.1,12.42
282,NC,25.5,35.7,21.58,34.3,46.07,29.66,1593,1676,1533,29.61,35.44,27.66,11.2,14.61,9.34,5.19,8.18,4.32,4.73,7.32,3.66,1.79,2.89,1.54,5.46,7.4,4.64,5.76,5.96,5.46,688,650.0,711,708,680,726,20.77,25.89,18.57
283,ND,14.51,34.71,13.84,16.8,41.72,16.01,1786,993,1870,26.23,39.85,26.0,8.61,0.0,8.71,2.99,6.12,2.92,2.19,5.45,2.08,1.29,0.0,1.25,4.57,6.37,4.47,12.26,0.0,12.32,728,638.0,731,562,0,550,6.12,9.55,6.0
284,NE,16.07,32.55,14.13,19.25,39.49,16.97,2055,1995,2123,24.98,31.56,24.31,7.0,15.82,6.55,3.41,8.79,3.14,1.98,4.98,1.72,1.25,2.99,1.14,3.67,5.9,3.4,8.47,7.06,8.42,724,651.0,734,745,593,740,7.69,14.3,6.72
285,NH,14.18,0.0,14.17,19.34,0.0,19.33,1680,0,1679,24.45,0.0,24.46,8.14,0.0,8.12,3.29,0.0,3.31,2.03,0.0,2.03,1.16,0.0,1.16,2.41,0.0,2.4,6.44,0.0,6.32,732,0.0,732,537,0,530,8.03,0.0,8.01
